Code INSEE;Code Postal;Commune
91333;91310;LEUVILLE-SUR-ORGE
78618;78790;TILLY
91533;91690;SACLAS
93007;93150;LE BLANC-MESNIL
91649;91710;VERT-LE-PETIT
77209;77400;GOUVERNES
77258;77185;LOGNES
77123;77290;COMPANS
78499;78730;PONTHEVRARD
77342;77890;OBSONVILLE
95258;95690;FROUVILLE
77177;77220;FAVIERES
91148;91580;CHAUFFOUR-LES-ETRECHY
77081;77390;CHAMPDEUIL
91662;91580;VILLECONIN
77389;77000;LA ROCHETTE
78423;78180;MONTIGNY-LE-BRETONNEUX
75103;75003;PARIS-3E-ARRONDISSEMENT
77320;77120;MOUROUX
77361;77580;PIERRE-LEVEE
77360;77131;PEZARCHES
78118;78200;BUCHELAY
78362;78711;MANTES-LA-VILLE
77352;77390;OZOUER-LE-VOULGIS
95352;95270;LUZARCHES
77038;77350;BOISSETTES
78642;78480;VERNEUIL-SUR-SEINE
77200;77890;GARENTREVILLE
77193;77165;FORFRY
91689;91320;WISSOUS
95313;95290;L'ISLE-ADAM
95574;95390;SAINT-PRIX
78367;78750;MAREIL-MARLY
75106;75006;PARIS-6E-ARRONDISSEMENT
78557;78125;SAINT-HILARION
93047;93370;MONTFERMEIL
77301;77151;MONTCEAUX-LES-PROVINS
91692;91940;LES ULIS
77182;77320;LA FERTE-GAUCHER
91037;91830;AUVERNAUX
95652;95270;VIARMES
77142;77580;CRECY-LA-CHAPELLE
78484;78200;PERDREAUVILLE
93031;93800;EPINAY-SUR-SEINE
78517;78120;RAMBOUILLET
78396;78600;LE MESNIL-LE-ROI
91159;91750;CHEVANNES
95301;95780;HAUTE-ISLE
78072;78200;BOINVILLIERS
77343;77440;OCQUERRE
91069;91720;BOIGNEVILLE
91666;91140;VILLEJUST
95331;95270;LASSY
78466;78630;ORGEVAL
95157;95510;CHERENCE
77379;77160;PROVINS
91635;91430;VAUHALLAN
93032;93220;GAGNY
75115;75015;PARIS-15E-ARRONDISSEMENT
92072;92310;SEVRES
77513;77124;VILLENOY
78048;78550;BAZAINVILLE
95627;95810;VALLANGOUJARD
91600;91450;SOISY-SUR-SEINE
77316;77250;MORET-SUR-LOING
77171;77450;ESBLY
93071;93270;SEVRAN
78609;78250;TESSANCOURT-SUR-AUBETTE
95046;95420;BANTHELU
91540;91530;SAINT-CHERON
93039;93450;L'ILE-SAINT-DENIS
77188;77590;FONTAINE-LE-PORT
95018;95100;ARGENTEUIL
77447;77240;SEINE-PORT
78126;78170;LA CELLE-SAINT-CLOUD
77145;77390;CRISENOY
95611;95810;THEUVILLE
95675;95380;VILLERON
78192;78111;DAMMARTIN-EN-SERVE
78503;78270;PORT-VILLEZ
77323;77230;MOUSSY-LE-VIEUX
78172;78700;CONFLANS-SAINTE-HONORINE
92062;92800;PUTEAUX
91685;91700;VILLIERS-SUR-ORGE
77350;77330;OZOIR-LA-FERRIERE
95094;95720;BOUQUEVAL
95280;95190;GOUSSAINVILLE
91549;91700;SAINTE-GENEVIEVE-DES-BOIS
94004;94470;BOISSY-SAINT-LEGER
95120;95430;BUTRY-SUR-OISE
77244;77760;LARCHANT
77172;77940;ESMANS
78524;78150;ROCQUENCOURT
91093;91470;BOULLAY-LES-TROUX
77438;77400;SAINT-THIBAULT-DES-VIGNES
95328;95690;LABBEVILLE
77345;77750;ORLY-SUR-MORIN
78264;78490;GAMBAISEUIL
77445;77176;SAVIGNY-LE-TEMPLE
94052;94130;NOGENT-SUR-MARNE
78325;78580;JUMEAUVILLE
77268;77700;MAGNY-LE-HONGRE
77047;77580;BOULEURS
78290;78520;GUERNES
77191;77370;FONTENAILLES
77341;77114;NOYEN-SUR-SEINE
77051;77480;BRAY-SUR-SEINE
77274;77139;MARCILLY
77186;77300;FONTAINEBLEAU
77283;77145;MAY-EN-MULTIEN
91135;91750;CHAMPCUEIL
91319;91640;JANVRY
77369;77470;POINCY
78415;78124;MONTAINVILLE
95510;95650;PUISEUX-PONTOISE
78104;78930;BREUIL-BOIS-ROBERT
78470;78125;ORPHIN
93010;93140;BONDY
77367;77440;LE PLESSIS-PLACY
92064;92210;SAINT-CLOUD
77163;77139;DOUY-LA-RAMEE
94011;94380;BONNEUIL-SUR-MARNE
77144;77610;CREVECOEUR-EN-BRIE
91556;91780;SAINT-HILAIRE
78231;78200;FAVRIEUX
95014;95580;ANDILLY
93079;93430;VILLETANEUSE
77266;77133;MACHAULT
77015;77480;BABY
78361;78200;MANTES-LA-JOLIE
92002;92160;ANTONY
91587;91160;SAULX-LES-CHARTREUX
78528;78270;ROLLEBOISE
95177;95830;CORMEILLES-EN-VEXIN
94048;94440;MAROLLES-EN-BRIE
77472;77510;LA TRETOIRE
95051;95250;BEAUCHAMP
78653;78490;VICQ
77479;77360;VAIRES-SUR-MARNE
95394;95540;MERY-SUR-OISE
77353;77710;PALEY
78036;78770;AUTOUILLET
78536;78440;SAILLY
77251;77127;LIEUSAINT
78343;78350;LES LOGES-EN-JOSAS
91156;91630;CHEPTAINVILLE
77135;77540;COURPALAY
91547;91410;SAINT-ESCOBILLE
95011;95710;AMBLEVILLE
94065;94150;RUNGIS
75108;75008;PARIS-8E-ARRONDISSEMENT
95002;95450;ABLEIGES
91207;91520;EGLY
95580;95470;SAINT-WITZ
77435;77930;SAINT-SAUVEUR-SUR-ECOLE
77344;77178;OISSERY
78307;78125;HERMERAY
78531;78710;ROSNY-SUR-SEINE
92024;92110;CLICHY
78537;78730;SAINT-ARNOULT-EN-YVELINES
77458;77460;SOUPPES-SUR-LOING
77225;77580;LA HAUTE-MAISON
77080;77560;CHAMPCENEST
75113;75013;PARIS-13E-ARRONDISSEMENT
77505;77470;VILLEMAREUIL
77404;77650;SAINTE-COLOMBE
77421;77320;SAINT-MARS-VIEUX-MAISONS
91216;91360;EPINAY-SUR-ORGE
93077;93250;VILLEMOMBLE
77464;77400;THORIGNY-SUR-MARNE
77269;77950;MAINCY
91195;91490;DANNEMOIS
95424;95370;MONTIGNY-LES-CORMEILLES
78576;78690;SAINT-REMY-L'HONORE
94015;94360;BRY-SUR-MARNE
78285;78550;GRESSEY
75112;75012;PARIS-12E-ARRONDISSEMENT
95348;95450;LONGUESSE
78443;78640;NEAUPHLE-LE-VIEUX
91573;91280;SAINT-PIERRE-DU-PERRAY
77034;77115;BLANDY
77042;77169;BOISSY-LE-CHATEL
94016;94230;CACHAN
78049;78580;BAZEMONT
77197;77320;FRETOY
78146;78400;CHATOU
78502;78560;LE PORT-MARLY
95151;95560;CHAUVRY
95585;95200;SARCELLES
77263;77520;LUISETAINES
95429;95770;MONTREUIL-SUR-EPTE
78194;78550;DANNEMARIE
78084;78490;BOISSY-SANS-AVOIR
78688;78960;VOISINS-LE-BRETONNEUX
75107;75007;PARIS-7E-ARRONDISSEMENT
95257;95530;LA FRETTE-SUR-SEINE
78163;78910;CIVRY-LA-FORET
77078;77260;CHAMIGNY
77451;77640;SIGNY-SIGNETS
77455;77111;SOIGNOLLES-EN-BRIE
94042;94340;JOINVILLE-LE-PONT
77098;77370;CHATEAUBLEAU
93029;93700;DRANCY
78431;78630;MORAINVILLIERS
77139;77181;COURTRY
78324;78200;JOUY-MAUVOISIN
92026;92400;COURBEVOIE
95509;95380;PUISEUX-EN-FRANCE
77099;77570;CHATEAU-LANDON
77284;77100;MEAUX
77300;77470;MONTCEAUX-LES-MEAUX
77127;77170;COUBERT
95078;95650;BOISSY-L'AILLERIE
95218;95610;ERAGNY
77475;77470;TRILPORT
91441;91750;NAINVILLE-LES-ROCHES
77052;77720;BREAU
77402;77320;SAINT-BARTHELEMY
91687;91170;VIRY-CHATILLON
77515;77410;VILLEROY
78364;78770;MARCQ
77146;77183;CROISSY-BEAUBOURG
77423;77320;SAINT-MARTIN-DES-CHAMPS
91482;91470;PECQUEUSE
77395;77760;RUMONT
93050;93330;NEUILLY-SUR-MARNE
78478;78660;PARAY-DOUAVILLE
94069;94410;SAINT-MAURICE
78513;78940;LA QUEUE-LES-YVELINES
75101;75001;PARIS-1ER-ARRONDISSEMENT
78071;78660;BOINVILLE-LE-GAILLARD
77114;77173;CHEVRY-COSSIGNY
77124;77600;CONCHES-SUR-GONDOIRE
77025;77118;BAZOCHES-LES-BRAY
78031;78930;AUFFREVILLE-BRASSEUIL
91191;91560;CROSNE
91001;91150;ABBEVILLE-LA-RIVIERE
78624;78510;TRIEL-SUR-SEINE
77222;77390;GUIGNES
77368;77160;POIGNY
93005;93600;AULNAY-SOUS-BOIS
95323;95280;JOUY-LE-MOUTIER
77415;77660;SAINT-JEAN-LES-DEUX-JUMEAUX
78601;78120;SONCHAMP
95430;95560;MONTSOULT
78567;78520;SAINT-MARTIN-LA-GARENNE
78358;78600;MAISONS-LAFFITTE
95024;95420;ARTHIES
94033;94120;FONTENAY-SOUS-BOIS
94002;94140;ALFORTVILLE
91111;91640;BRIIS-SOUS-FORGES
77326;77176;NANDY
77201;77370;GASTINS
78615;78850;THIVERVAL-GRIGNON
77073;77160;CHALAUTRE-LA-PETITE
77478;77260;USSY-SUR-MARNE
78120;78830;BULLION
92040;92130;ISSY-LES-MOULINEAUX
78401;78250;MEULAN-EN-YVELINES
77385;77510;REBAIS
95427;95360;MONTMAGNY
78575;78470;SAINT-REMY-LES-CHEVREUSE
77516;77130;VILLE-SAINT-JACQUES
77299;77250;MONTARLOT
78329;78440;LAINVILLE-EN-VEXIN
91339;91310;LINAS
93051;93160;NOISY-LE-GRAND
95651;95510;VETHEUIL
75105;75005;PARIS-5E-ARRONDISSEMENT
95379;95420;MAUDETOUR-EN-VEXIN
77312;77690;MONTIGNY-SUR-LOING
77012;77560;AUGERS-EN-BRIE
77199;77470;FUBLAINES
77158;77940;DIANT
95607;95150;TAVERNY
77509;77154;VILLENEUVE-LES-BORDES
77433;77120;SAINTS
91275;91940;GOMETZ-LE-CHATEL
77356;77480;PASSY-SUR-SEINE
95088;95500;BONNEUIL-EN-FRANCE
95422;95650;MONTGEROULT
91630;91530;LE VAL-SAINT-GERMAIN
94081;94400;VITRY-SUR-SEINE
77465;77940;THOURY-FEROTTES
78224;78620;L'ETANG-LA-VILLE
77534;77390;YEBLES
94079;94350;VILLIERS-SUR-MARNE
77006;77630;ARBONNE-LA-FORET
77524;77520;VIMPELLES
95256;95740;FREPILLON
94019;94430;CHENNEVIERES-SUR-MARNE
77164;77830;ECHOUBOULAINS
77398;77510;SABLONNIERES
77026;77560;BEAUCHERY-SAINT-MARTIN
95040;95450;AVERNES
78171;78113;CONDE-SUR-VESGRE
95252;95130;FRANCONVILLE
77517;77410;VILLEVAUDE
92014;92340;BOURG-LA-REINE
77217;77166;GRISY-SUISNES
77129;77840;COULOMBS-EN-VALOIS
77387;77710;REMAUVILLE
95270;95420;GENAINVILLE
78188;78270;CRAVENT
77210;77130;LA GRANDE-PAROISSE
78168;78310;COIGNIERES
78404;78940;MILLEMONT
77161;77130;DORMELLES
95170;95450;CONDECOURT
78407;78125;MITTAINVILLE
77403;77160;SAINT-BRICE
78068;78270;BLARU
77035;77940;BLENNES
91671;91580;VILLENEUVE-SUR-AUVERS
91222;91660;ESTOUCHES
77248;77450;LESCHES
77507;77480;VILLENAUXE-LA-PETITE
77077;77910;CHAMBRY
77425;77630;SAINT-MARTIN-EN-BIERE
78672;78670;VILLENNES-SUR-SEINE
78616;78770;THOIRY
91526;91150;ROINVILLIERS
78076;78910;BOISSETS
77527;77540;VOINSLES
94043;94270;LE KREMLIN-BICETRE
91099;91820;BOUTIGNY-SUR-ESSONNE
91022;91690;ARRANCOURT
77462;77230;THIEUX
78620;78117;TOUSSUS-LE-NOBLE
91435;91250;MORSANG-SUR-SEINE
78398;78490;LES MESNULS
91045;91610;BALLANCOURT-SUR-ESSONNE
91552;91180;SAINT-GERMAIN-LES-ARPAJON
77508;77174;VILLENEUVE-LE-COMTE
78530;78790;ROSAY
78337;78270;LIMETZ-VILLEZ
93027;93120;LA COURNEUVE
95058;95340;BERNES-SUR-OISE
91345;91160;LONGJUMEAU
78320;78270;JEUFOSSE
94056;94520;PERIGNY
94078;94190;VILLENEUVE-SAINT-GEORGES
91468;91540;ORMOY
77290;77730;MERY-SUR-MARNE
78322;78350;JOUY-EN-JOSAS
77307;77144;MONTEVRAIN
94067;94160;SAINT-MANDE
92075;92170;VANVES
77262;77560;LOUAN-VILLEGRUIS-FONTAINE
78123;78955;CARRIERES-SOUS-POISSY
77521;77580;VILLIERS-SUR-MORIN
95214;95270;EPINAY-CHAMPLATREUX
78073;78390;BOIS-D'ARCY
77335;77124;CHAUCONIN-NEUFMONTIERS
77501;77250;VILLECERF
91648;91810;VERT-LE-GRAND
77306;77950;MONTEREAU-SUR-LE-JARD
77087;77540;LA CHAPELLE-IGER
77246;77171;LECHELLE
77298;77520;MONS-EN-MONTOIS
78506;78660;PRUNAY-EN-YVELINES
91432;91420;MORANGIS
77474;77450;TRILBARDOU
95110;95640;BRIGNANCOURT
91312;91430;IGNY
95008;95510;AINCOURT
95139;95420;LA CHAPELLE-EN-VEXIN
77452;77520;SIGY
77392;77230;ROUVRES
